home_team,away_team,game_date,result,home_goals,away_goals,referee,attendance,venue,home_ball_possession,away_ball_possession,home_goal_attempts,away_goal_attempts,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_blocked_shots,away_blocked_shots,home_free_kicks,away_free_kicks,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_goalkeeper_saves,away_goalkeeper_saves,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_formation,away_formation,home_players,away_players,home_substitutes,away_substitutes,substitutions_made,home_coach,away_coach
Manchester City,Crystal Palace,1/16/2016,W,4,0,Moss J. (Eng),53983,Etihad Stadium (Manchester),0.53,0.47,17,9,4,3,6,5,7,1,12,10,5,6,0,1,3,0,10,11,0,2,4 - 3 - 1 - 2,4 - 3 - 3,"[u'Aguero S.', u'de Bruyne K.', u'Delph F.', u'Demichelis M.', u'Fernando', u'Hart J. ', u'Iheanacho K.', u'Kolarov A.', u'Otamendi N.', u'Silva D.', u'Zabaleta P.']","[u'Cabaye Y.', u'Dann S.', u'Delaney D. ', u'Hennessey W. ', u'Ledley J.', u'McArthur J.', u'Puncheon J.', u'Souare P.', u'Ward J.', u'Wickham C.', u'Zaha W.']","[u'Caballero W. ', u'Clichy G.', u'Humphreys C.', u'Navas J.', u'Sagna B.', u'Sterling R.', u'Toure Y.']","[u'Campbell F.', u'Chamakh M.', u'Jedinak M.', u'Kelly M.', u'Lee Chung-Yong', u'Mutch J.', u'Speroni J. ']","[(u'Clichy G.', u'Kolarov A.'), (u'Chamakh M.', u'Wickham C.'), (u'Navas J.', u'Aguero S.'), (u'Lee Chung-Yong', u'Zaha W.'), (u'Mutch J.', u'McArthur J.'), (u'Toure Y.', u'Iheanacho K.')]",Pellegrini M.,Pardew A.
Newcastle Utd,Sunderland,3/20/2016,D,1,1,Atkinson M. (Eng),52311,St. James Park (Newcastle),0.6,0.4,16,14,7,4,7,7,2,3,8,15,2,5,1,1,3,6,14,7,4,1,4 - 2 - 3 - 1,4 - 1 - 4 - 1,"[u'Colback J.', u'Elliot R. ', u'Janmaat D.', u'Lascelles J.', u'Mbemba Ch.', u'Mitrovic A.', u'Perez A.', u'Shelvey J. ', u'Sissoko M.', u'Townsend A.', u'Wijnaldum G.']","[u'Borini F.', u'Defoe J.', u'Kaboul Y. ', u'Khazri W.', u'Kirchhoff J.', u'Kone L.', u'Mannone V. ', u""M'Vila Y."", u'Rodwell J.', u'van Aanholt P.', u'Yedlin D.']","[u'Anita V.', u'Cisse P.', u'Darlow K. ', u'de Jong S.', u'Riviere E.', u'Saivet H.', u'Taylor S.']","[u'Cattermole L.', u'Jones B.', u'Lens J.', u""N'Doye D."", u""O'Shea J."", u'Pickford J. ', u'Toivonen O.']","[(u'Anita V.', u'Janmaat D.'), (u'Cattermole L.', u'Kirchhoff J.'), (u'Cisse P.', u'Townsend A.'), (u'de Jong S.', u'Colback J.'), (u""N'Doye D."", u'Khazri W.'), (u""O'Shea J."", u'Kaboul Y.')]",Benitez R.,Allardyce S.
West Ham,Tottenham,3/2/2016,W,1,0,Marriner A. (Eng),34977,Boleyn Ground (London),0.35,0.65,14,9,3,2,6,6,5,1,13,17,6,3,7,2,2,2,10,11,0,3,4 - 3 - 3,4 - 2 - 3 - 1,"[u'Adrian ', u'Antonio M.', u'Collins J.', u'Cresswell A.', u'Emenike E.', u'Kouyate C.', u'Lanzini M.', u'Noble M. ', u'Obiang P.', u'Ogbonna A.', u'Payet D.']","[u'Alderweireld T.', u'Chadli N.', u'Davies B.', u'Dier E.', u'Eriksen C.', u'Kane H.', u'Lamela E.', u'Lloris H. ', u'Mason R.', u'Trippier K.', u'Wimmer K.']","[u'Carroll A.', u'Dobson G.', u'Henry D.', u'Oxford R.', u'Randolph D. ', u'Sakho D.', u'Song A.']","[u'Alli D.', u'Carroll T.', u'Onomah J.', u'Rose D.', u'Son Heung-Min', u'Vorm M. ', u'Walker K.']","[(u'Carroll A.', u'Emenike E.'), (u'Alli D.', u'Chadli N.'), (u'Carroll T.', u'Wimmer K.'), (u'Oxford R.', u'Collins J.'), (u'Son Heung-Min', u'Lamela E.'), (u'Sakho D.', u'Lanzini M.')]",Bilic S.,Pochettino M.
Stoke City,Manchester City,12/5/2015,W,2,0,Atkinson M. (Eng),27264,Bet365 Stadium (Stoke on Trent),0.47,0.53,7,11,4,4,3,6,0,1,10,13,1,6,3,0,4,2,9,10,0,1,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Afellay I.', u'Arnautovic M.', u'Butland J. ', u'Cameron G.', u'Johnson G.', u'Krkic B.', u'Pieters E.', u'Shaqiri X.', u'Shawcross R. ', u'Whelan G.', u'Wollscheid P.']","[u'Bony W.', u'de Bruyne K.', u'Demichelis M.', u'Fernandinho', u'Fernando', u'Hart J. ', u'Kolarov A.', u'Otamendi N.', u'Sagna B.', u'Silva D.', u'Sterling R.']","[u'Adam C.', u'Diouf M.', u'Haugaard J. ', u'Joselu', u'van Ginkel M.', u'Walters J.', u'Wilson M.']","[u'Caballero W. ', u'Clichy G.', u'Delph F.', u'Garcia M.', u'Humphreys C.', u'Iheanacho K.', u'Navas J.']","[(u'Delph F.', u'Fernandinho'), (u'Joselu', u'Krkic B.'), (u'van Ginkel M.', u'Shaqiri X.'), (u'Walters J.', u'Afellay I.'), (u'Iheanacho K.', u'Bony W.'), (u'Navas J.', u'Silva D.')]",Hughes M,Pellegrini M.
Tottenham,Crystal Palace,9/20/2015,W,1,0,Oliver M. (Eng),35723,White Hart Lane (London),0.55,0.45,22,12,6,4,6,4,10,4,14,12,6,5,3,3,4,5,9,11,1,2,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Alderweireld T.', u'Alli D.', u'Chadli N.', u'Davies B.', u'Dier E.', u'Kane H.', u'Lamela E.', u'Lloris H. ', u'Son Heung-Min', u'Vertonghen J.', u'Walker K.']","[u'Bolasie Y.', u'Cabaye Y.', u'Delaney D. ', u'Hangeland B.', u'Kelly M.', u'McArthur J.', u'McCarthy A. ', u'Puncheon J.', u'Sako B.', u'Souare P.', u'Zaha W.']","[u'Carroll T.', u'Eriksen C.', u'Fazio F.', u""N'Jie C."", u'Townsend A.', u'Trippier K.', u'Vorm M. ']","[u'Bamford P.', u'Campbell F.', u'Hennessey W. ', u'Ledley J.', u'Lee Chung-Yong', u'Mariappa A.', u'Mutch J.']","[(u'Carroll T.', u'Lamela E.'), (u'Bamford P.', u'Sako B.'), (u'Eriksen C.', u'Chadli N.'), (u'Campbell F.', u'Zaha W.'), (u""N'Jie C."", u'Son Heung-Min'), (u'Mutch J.', u'McArthur J.')]",Pochettino M.,Pardew A.
Watford,Crystal Palace,9/27/2015,L,0,1,Taylor A. (Eng),20168,Vicarage Road (Watford),0.55,0.45,15,16,2,3,9,8,4,5,22,16,6,4,0,0,2,2,17,22,4,4,4 - 4 - 2,4 - 2 - 3 - 1,"[u'Abdi A.', u'Anya I.', u'Capoue E.', u'Cathcart C.', u'Deeney T. ', u'Gomes H. ', u'Ighalo O.', u'Jurado J. M.', u'Nyom A.', u'Prodl S.', u'Watson B.']","[u'Bolasie Y.', u'Cabaye Y.', u'Dann S. ', u'Gayle D.', u'Hangeland B.', u'Hennessey W. ', u'Kelly M.', u'Ledley J.', u'Puncheon J.', u'Sako B.', u'Souare P.']","[u'Ake N.', u'Arlauskis G. ', u'Berghuis S.', u'Diamanti A.', u'Guedioura A.', u'Ibarbo V.', u'Paredes J.']","[u'Campbell F.', u'Croll L.', u'Gray J.', u'Mariappa A.', u'McArthur J.', u'McCarthy A. ', u'Zaha W.']","[(u'Ake N.', u'Nyom A.'), (u'Campbell F.', u'Gayle D.'), (u'Berghuis S.', u'Abdi A.'), (u'McArthur J.', u'Cabaye Y.'), (u'Ibarbo V.', u'Watson B.'), (u'Zaha W.', u'Sako B.')]",Flores Q.,Pardew A.
Bournemouth,Watford,10/3/2015,D,1,1,Oliver M. (Eng),11187,Dean Court (Bournemouth),0.54,0.46,12,11,6,2,4,5,2,4,13,12,5,3,4,1,1,5,8,13,1,1,4 - 4 - 1 - 1,4 - 4 - 2,"[u'Boruc A. ', u'Cook S.', u'Daniels C.', u'Distin S.', u'Francis S. ', u'Gosling D.', u'King J.', u'Murray G.', u'Pugh M.', u'Ritchie M.', u'Surman A.']","[u'Abdi A.', u'Ake N.', u'Anya I.', u'Capoue E.', u'Cathcart C.', u'Deeney T. ', u'Gomes H. ', u'Ighalo O.', u'Nyom A.', u'Prodl S.', u'Watson B.']","[u'Bennett J.', u'Cargill B.', u'Federici A. ', u'Kermorgant Y.', u""O'Kane E."", u'Smith A.', u'Tomlin L.']","[u'Arlauskis G. ', u'Britos M.', u'Diamanti A.', u'Dyer L.', u'Guedioura A.', u'Ibarbo V.', u'Paredes J.']","[(u""O'Kane E."", u'King J.'), (u'Guedioura A.', u'Abdi A.'), (u'Smith A.', u'Pugh M.'), (u'Ibarbo V.', u'Nyom A.'), (u'Paredes J.', u'Anya I.')]",Howe E.,Flores Q.
Norwich,Newcastle Utd,4/2/2016,W,3,2,Dean M. (Eng),27137,Carrow Road (Norwich),0.41,0.59,13,13,6,5,5,7,2,1,13,9,6,5,4,3,3,3,6,11,,,4 - 4 - 1 - 1,4 - 2 - 3 - 1,"[u'Bennett R.', u'Brady R.', u'Howson J.', u'Jarvis M.', u'Klose T.', u'Mbokani D.', u'Naismith S.', u'Olsson Mart.', u""O'Neil G. "", u'Ruddy J. ', u'Wisdom A.']","[u'Anita V.', u'Cisse P.', u'Darlow K. ', u'Janmaat D.', u'Mbemba Ch.', u'Shelvey J. ', u'Sissoko M.', u'Taylor S.', u'Tiote C.', u'Townsend A.', u'Wijnaldum G.']","[u'Bamford P.', u'Bassong S.', u'Hoolahan W.', u'Jerome C.', u'Mulumbu Y.', u'Redmond N.', u'Rudd D. ']","[u'de Jong S.', u'Lascelles J.', u'Mitrovic A.', u'Perez A.', u'Riviere E.', u'Sterry J.', u'Woodman F. ']","[(u'Hoolahan W.', u'Naismith S.'), (u'Mitrovic A.', u'Anita V.)(Penalty'), (u'Jerome C.', u'Mbokani D.'), (u'Perez A.', u'Tiote C.'), (u'Redmond N.', u'Jarvis M.')]",Neil A.,Benitez R.
Arsenal,Watford,4/2/2016,W,4,0,Taylor A. (Eng),59981,Emirates Stadium (London),0.69,0.31,19,6,12,2,4,2,3,2,13,8,8,3,1,3,2,8,7,10,1,1,4 - 2 - 3 - 1,4 - 4 - 2,"[u'Bellerin H.', u'Coquelin F.', u'Elneny M.', u'Gabriel', u'Iwobi A.', u'Koscielny L. ', u'Monreal N.', u'Ospina D. ', u'Ozil M.', u'Sanchez A.', u'Welbeck D.']","[u'Abdi A.', u'Ake N.', u'Capoue E.', u'Cathcart C.', u'Deeney T. ', u'Gomes H. ', u'Ighalo O.', u'Nyom A.', u'Prodl S.', u'Suarez M.', u'Watson B.']","[u'Campbell J.', u'Cech P. ', u'Chambers C.', u'Gibbs K.', u'Giroud O.', u'Mertesacker P.', u'Walcott T.']","[u'Amrabat N.', u'Anya I.', u'Berghuis S.', u'Britos M.', u'Guedioura A.', u'Jurado J. M.', u'Pantilimon C. ']","[(u'Campbell J.', u'Sanchez A.'), (u'Amrabat N.', u'Ighalo O.'), (u'Anya I.', u'Capoue E.'), (u'Giroud O.', u'Welbeck D.'), (u'Guedioura A.', u'Abdi A.'), (u'Walcott T.', u'Iwobi A.')]",Wenger A.,Flores Q.
Southampton,Newcastle Utd,4/9/2016,W,3,1,Madley R. (Eng),31542,St. Mary's Stadium (Southampton),0.51,0.49,20,5,6,3,9,1,5,1,8,10,11,2,2,1,2,3,8,7,,,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Bertrand R.', u'Clasie J.', u'Fonte J. ', u'Forster F. ', u'Long S.', u'Mane S.', u'Martina C.', u'Pelle G.', u'Tadic D.', u'van Dijk V.', u'Wanyama V.']","[u'Anita V.', u'Darlow K. ', u'Janmaat D.', u'Mbemba Ch.', u'Mitrovic A.', u'Perez A.', u'Shelvey J. ', u'Sissoko M.', u'Taylor S.', u'Townsend A.', u'Wijnaldum G.']","[u'Austin C.', u'Cedric A.', u'Rodriguez J.', u'Romeu O.', u'Stekelenburg M. ', u'Ward-Prowse J.', u'Yoshida M.']","[u'Cisse P.', u'de Jong S.', u'Dummett P.', u'Lascelles J.', u'Obertan G.', u'Tiote C.', u'Woodman F. ']","[(u'Cisse P.', u'Perez A.'), (u'de Jong S.', u'Janmaat D.'), (u'Rodriguez J.', u'Tadic D.'), (u'Romeu O.', u'Clasie J.'), (u'Lascelles J.', u'Taylor S.'), (u'Ward-Prowse J.', u'Long S.')]",Koeman R.,Benitez R.
Watford,Tottenham,12/28/2015,L,1,2,Taylor A. (Eng),20730,Vicarage Road (Watford),0.37,0.63,9,10,1,3,4,7,4,0,13,14,5,3,2,1,1,0,11,13,4,2,4 - 4 - 2,3 - 4 - 2 - 1,"[u'Abdi A.', u'Ake N.', u'Anya I.', u'Britos M.', u'Capoue E.', u'Cathcart C.', u'Deeney T. ', u'Gomes H. ', u'Ighalo O.', u'Jurado J. M.', u'Watson B.']","[u'Alderweireld T.', u'Alli D.', u'Carroll T.', u'Dembele M.', u'Dier E.', u'Kane H.', u'Lamela E.', u'Lloris H. ', u'Rose D.', u'Trippier K.', u'Vertonghen J.']","[u'Arlauskis G. ', u'Behrami V.', u'Diamanti A.', u'Guedioura A.', u'Holebas J.', u'Nyom A.', u'Prodl S.']","[u'Chadli N.', u'Davies B.', u'Eriksen C.', u'Mason R.', u'Son Heung-Min', u'Vorm M. ', u'Walker K.']","[(u'Chadli N.', u'Alli D.'), (u'Behrami V.', u'Abdi A.'), (u'Eriksen C.', u'Dembele M.'), (u'Son Heung-Min', u'Carroll T.'), (u'Nyom A.', u'Jurado J. M.'), (u'Prodl S.', u'Britos M.')]",Flores Q.,Pochettino M.
Norwich,Southampton,1/2/2016,W,1,0,Clattenburg M. (Eng),27022,Carrow Road (Norwich),0.41,0.59,10,10,1,4,7,5,2,1,9,13,4,9,2,2,4,0,9,7,1,2,4 - 4 - 1 - 1,4 - 2 - 3 - 1,"[u'Bassong S.', u'Bennett R.', u'Brady R.', u'Hoolahan W.', u'Howson J.', u'Martin R. ', u'Mbokani D.', u""O'Neil G."", u'Redmond N.', u'Rudd D. ', u'Tettey A.']","[u'Bertrand R.', u'Clasie J.', u'Davis S.', u'Fonte J. ', u'Long S.', u'Martina C.', u'Stekelenburg M. ', u'Tadic D.', u'van Dijk V.', u'Wanyama V.', u'Ward-Prowse J.']","[u'Dorrans G.', u'Jerome C.', u'Mulumbu Y.', u'Odjidja-Ofoe V.', u'Olsson Mart.', u'Ruddy J. ', u'Whittaker S.']","[u'Gazzaniga P. ', u'Mane S.', u'Ramirez G.', u'Reed H.', u'Seager R.', u'Targett M.', u'Yoshida M.']","[(u'Jerome C.', u'Mbokani D.'), (u'Mane S.', u'Tadic D.'), (u'Ramirez G.', u'Ward-Prowse J.'), (u'Odjidja-Ofoe V.', u'Redmond N.'), (u'Reed H.', u'Clasie J.'), (u'Olsson Mart.', u'Hoolahan W.')]",Neil A.,Koeman R.
